order_id,store_name,packaged_time,created_At,total
QC_IN_402-7354316-3993966,TBH8,1773939141447,2026-03-19T22:14:18.000Z,3
QC_IN_406-0526500-8999531,TBI6,1773939074677,2026-03-19T22:19:49.000Z,1
QC_IN_408-1816785-3223513,TBI6,1773939086378,2026-03-19T22:19:55.000Z,1
QC_IN_405-0688234-9906724,TBI4,1773938737506,2026-03-19T22:12:18.000Z,16
QC_IN_171-0791962-6095517,TBI9,1773938910557,2026-03-19T22:16:19.000Z,5
QC_IN_406-9250176-2837136,TBI6,1773938980152,2026-03-19T22:18:58.000Z,1
QC_IN_405-7002269-2129126,TBJ2,1773938751902,2026-03-19T22:13:29.000Z,3
QC_IN_171-6792147-6821943,TBJ3,1773938630175,2026-03-19T22:11:49.000Z,3
QC_IN_171-2760376-9755558,TBI3,1773938749870,2026-03-19T22:15:05.000Z,1
QC_IN_171-1131923-6362713,TBI6,1773939056775,2026-03-19T22:17:58.000Z,5
QC_IN_404-4559146-8533139,TBI4,1773937836495,2026-03-19T21:59:46.000Z,1
QC_IN_408-0960426-3588335,TBI6,1773938930391,2026-03-19T22:17:19.000Z,8
QC_IN_403-3060722-8468338,TBH8,1773938808321,2026-03-19T22:07:36.000Z,19
QC_IN_408-1178980-4557921,TBI8,1773938808315,2026-03-19T22:15:46.000Z,2
QC_IN_408-7638198-1156348,TBH8,1773938570763,2026-03-19T22:07:37.000Z,7
QC_IN_171-5209603-8517958,TBI4,1773938218709,2026-03-19T22:05:46.000Z,6
QC_IN_171-8905698-7963500,TBI3,1773938252146,2026-03-19T22:05:41.000Z,5
QC_IN_404-9438741-3681964,TBJ2,1773938729264,2026-03-19T22:12:55.000Z,1
QC_IN_408-4945635-7945961,TBJ1,1773939130508,2026-03-19T22:21:34.000Z,1
QC_IN_404-3540572-3666738,TBJ1,1773938525546,2026-03-19T22:10:07.000Z,8
QC_IN_407-0688826-5761106,TBI7,1773938630187,2026-03-19T22:11:49.000Z,3
QC_IN_171-0102372-3416315,TBI3,1773938238359,2026-03-19T22:05:31.000Z,5
QC_IN_171-0706046-1843559,TBH8,1773938626634,2026-03-19T22:07:53.000Z,2
QC_IN_402-9379745-0093964,TBI6,1773938482768,2026-03-19T22:07:23.000Z,8
QC_IN_171-8868552-1689958,TBI8,1773938442989,2026-03-19T22:08:13.000Z,2
QC_IN_408-1487771-7455504,TBJ1,1773938603378,2026-03-19T22:11:30.000Z,6
QC_IN_171-8777557-0949965,TBJ3,1773938617871,2026-03-19T22:12:03.000Z,2
QC_IN_407-1217892-4049964,TBI9,1773938582057,2026-03-19T22:10:38.000Z,4
QC_IN_403-6131330-9880319,TBI8,1773938678264,2026-03-19T22:13:14.000Z,4
QC_IN_171-8299582-5793911,TBI3,1773938821407,2026-03-19T22:14:34.000Z,12
QC_IN_408-2768530-7844323,TBI7,1773938534065,2026-03-19T22:07:59.000Z,8
QC_IN_405-5097219-5409906,TBI7,1773938778118,2026-03-19T22:14:25.000Z,2
QC_IN_407-2439633-6888333,TBI4,1773938599856,2026-03-19T22:11:26.000Z,5
QC_IN_405-5210185-5433167,TBH8,1773938283011,2026-03-19T22:07:14.000Z,5
QC_IN_403-3089954-8442743,TBJ3,1773938536210,2026-03-19T22:10:02.000Z,4
QC_IN_171-1824624-3665126,TBI3,1773938461403,2026-03-19T22:10:10.000Z,1
QC_IN_408-4352439-8305962,TBH8,1773937990588,2026-03-19T22:02:17.000Z,2
QC_IN_408-0236971-8127507,TBJ1,1773938916348,2026-03-19T22:17:57.000Z,1
QC_IN_404-1923146-8109956,TBI8,1773938218330,2026-03-19T22:02:32.000Z,2
QC_IN_402-6897984-5441164,TBI7,1773938398585,2026-03-19T22:07:16.000Z,12
QC_IN_405-7805058-3139522,TBI7,1773938573522,2026-03-19T22:10:10.000Z,5
QC_IN_407-6557295-8815510,TBI8,1773938369455,2026-03-19T22:03:14.000Z,3
QC_IN_404-6706556-0484326,TBH8,1773938168345,2026-03-19T22:04:37.000Z,2
QC_IN_171-3251416-3834711,TBI6,1773938469733,2026-03-19T22:07:40.000Z,4
QC_IN_402-6320936-2541159,TBH8,1773938202276,2026-03-19T22:04:37.000Z,2
QC_IN_404-5571021-1173132,TBI3,1773938194940,2026-03-19T22:03:38.000Z,12
QC_IN_171-4673872-4478742,TBI7,1773938397591,2026-03-19T22:07:02.000Z,6
QC_IN_403-0098222-9665105,TBI8,1773938367303,2026-03-19T22:04:24.000Z,2
QC_IN_403-0510223-9425167,TBJ3,1773938202697,2026-03-19T22:00:15.000Z,34
QC_IN_403-6661321-7677930,TBI6,1773938544746,2026-03-19T22:11:11.000Z,4
QC_IN_405-6000723-0416329,TBI8,1773938486028,2026-03-19T22:04:47.000Z,12
QC_IN_406-2337514-4212304,TBJ3,1773938473194,2026-03-19T22:09:38.000Z,4
QC_IN_405-3122275-8627507,TBJ2,1773937916336,2026-03-19T22:01:16.000Z,1
QC_IN_408-6671148-3518753,TBJ3,1773938340059,2026-03-19T22:06:13.000Z,3
QC_IN_404-8845953-1050728,TBI4,1773937936986,2026-03-19T22:00:14.000Z,7
